video_url,title,duration_sec,views,chunks_extracted,flag
https://www.youtube.com/watch?v=-W3VfX2naK0,Intro to ChemSep & complex distillation| Separation of mixtures| DWSIM Simulation for Beginners,906,380,8,OK
https://www.youtube.com/watch?v=0P8TUovtZe4,Introductory Course - Intro,156,11580,1,OK
https://www.youtube.com/watch?v=1_GiV0IYeG8,Shell-and-Tube Heat Exchanger Simulation in DWSIM | n-Hexadecane–Water Example #DWSIM #HeatExchanger,669,246,6,OK
https://www.youtube.com/watch?v=3oS8e3DnHZg,DWSIM Flowsheet Ideas | Free Process Simulation | Dwsim,592,3026,4,OK
https://www.youtube.com/watch?v=5DdbFx8sQY0,Basic Course 2 - The Solution Inspector,461,2723,4,OK
https://www.youtube.com/watch?v=7GbyR6fpcEY,How to Simulate a Valve in DWSIM | Step-by-Step Tutorial,710,451,5,OK
https://www.youtube.com/watch?v=8udvcf8hNkU,Chemical Process Simulation | Distillation Column Simulation| Logic blocks - DWSIM-Water & Methanol,873,1929,5,OK
https://www.youtube.com/watch?v=ECSqyelD0Vs,Tutorial Video,0,0,0,INACCESSIBLE
https://www.youtube.com/watch?v=EyEWsFtpDN4,Isothermal Flash Separator Simulation Tutorial- DWSIM,629,1890,5,OK
https://www.youtube.com/watch?v=FQQJtY0gqYE,playing with DWSim 5 - heat exchangers part 1,1361,3555,12,OK
https://www.youtube.com/watch?v=FWvKupGFiS0,Multicomponent Distillation in DWSIM | dwsim tutorials,629,9805,7,OK
https://www.youtube.com/watch?v=GHy0n4-MlGk,DWSIM Tutorial : Organic Rankine Cycle Simulation,627,20110,0,NO_TRANSCRIPT
https://www.youtube.com/watch?v=HBH_jp5sP_k,Heat Exchanger : Setting the Vapor fraction in a stream using DWSIM,593,2070,4,OK
https://www.youtube.com/watch?v=HehCfcSHjk4,Adding a ChemSep Distillation Column,333,7561,0,NO_TRANSCRIPT
https://www.youtube.com/watch?v=Ip6phfp22Rw,Tutorial Video,0,0,0,INACCESSIBLE
https://www.youtube.com/watch?v=LiQA0RwSN50,Extractive Distillation Simulations| Complex Distillation Column| DWSIM Simulation for Beginners,3280,419,0,DURATION_SKIP
https://www.youtube.com/watch?v=MRb3N8rfjiA,"DWSIM Tutorial 3 (Pumps, Heaters & Pipe Segments)",360,15966,8,OK
https://www.youtube.com/watch?v=O2n7XChXj_g,Simulation of CSTR Reactor in DWSIM | Reactor Volume Comparison for CSTR and PFR Reactor,973,14741,10,OK
https://www.youtube.com/watch?v=OHs1u8WUR4M,"DWSIM Process Simulation 🔥 | Gas Compression, Cooling & Phase Separation (Chemical Engineering)",672,269,5,OK
https://www.youtube.com/watch?v=PJhubXTKrNw,Benzene-Toluene Distillation in DWSIM 9.0.5 | Complete Step-by-Step Tutorial | Chemical Engineering,716,513,10,OK
https://www.youtube.com/watch?v=-DmTK868J4A,How to Use Built-In ODE Solvers in MATLAB,366,29730,4,OK
https://www.youtube.com/watch?v=0hArv-UBKQQ,How to Import Excel Data into MATLAB,243,147496,3,OK
https://www.youtube.com/watch?v=1MpbPd6Ri-8,"How To Run Model Predictive Control Faster | Understanding MPC, Part 5",455,74400,4,OK
https://www.youtube.com/watch?v=21WQB0E-6-M,"Understanding Discrete Event Simulation, Part 1: What Is Discrete Event Simulation",269,86919,0,NO_TRANSCRIPT
https://www.youtube.com/watch?v=3tdq1iKs5UA,Activate or Renew MATLAB / Mathworks License,162,123056,2,OK
https://www.youtube.com/watch?v=4jvYyB6VMHQ,Error analysis using MATLAB | Numerical Methods | @MATLABHelper,352,10649,5,OK
https://www.youtube.com/watch?v=7dUVdrs1e18,"Noise Filtering in PID Control | Understanding PID Control, Part 3",712,408636,2,OK
https://www.youtube.com/watch?v=8kKkq2mk7gA,Simulate Nonlinear Systems in MATLAB (ode45),589,1690,4,OK
https://www.youtube.com/watch?v=ANBBiL_t0qU,Simulink Tutorial - Tutorial 1 - Introduction,421,93851,5,OK
https://www.youtube.com/watch?v=Bc9_TUFoCAw,Model-Based Design with MATLAB and Simulink,129,94088,0,NO_TRANSCRIPT
https://www.youtube.com/watch?v=ENhFepqjFOY,How to Automatically Tune PID Controllers,361,115805,2,OK
https://www.youtube.com/watch?v=EdqZ4FCIVqM,MATLAB Simulink Tutorial - 02 - Introducing MATLAB Simulink Tutorial,364,9,1,OK
https://www.youtube.com/watch?v=FurC2unHeXI,"Open-Loop Control Systems | Understanding Control Systems, Part 1",345,242518,7,OK
https://www.youtube.com/watch?v=Hp6FNrtlk3U,MATLAB ode45: How To Solve a System of Ordinary Differential Equations  (ODE - with discrete data),812,45674,4,OK
https://www.youtube.com/watch?v=KGn5m-LD9Ng,How to Get Started Learning MATLAB: 10 Tips for Students,328,4241,11,OK
https://www.youtube.com/watch?v=LyKb1MvCiG8,MATLAB: Coding while loops to validate user inputs,717,3743,4,OK
https://www.youtube.com/watch?v=MylJIqVVNr0,How to Get Started with Control Systems in MATLAB,291,65072,5,OK
https://www.youtube.com/watch?v=PT5v9bpp4-A,Phase II: Exploiting the Model |  | Fault Detection and Diagnosis in Process Plants pt. 3,693,2531,3,OK
https://www.youtube.com/watch?v=QIAxyLchf4k,Simulink Basics - A Practical Look,3464,160821,0,DURATION_SKIP
https://www.youtube.com/watch?v=RBfqGFldjhA,Where have I been?,150,204379,1,OK
https://www.youtube.com/watch?v=ECSqyelD0Vs,Tutorial Video,0,0,0,INACCESSIBLE
https://www.youtube.com/watch?v=GHy0n4-MlGk,DWSIM Tutorial : Organic Rankine Cycle Simulation,627,20110,0,NO_TRANSCRIPT
https://www.youtube.com/watch?v=HehCfcSHjk4,Adding a ChemSep Distillation Column,333,7561,0,NO_TRANSCRIPT
https://www.youtube.com/watch?v=Ip6phfp22Rw,Tutorial Video,0,0,0,INACCESSIBLE
https://www.youtube.com/watch?v=LiQA0RwSN50,Extractive Distillation Simulations| Complex Distillation Column| DWSIM Simulation for Beginners,3280,419,0,DURATION_SKIP
https://www.youtube.com/watch?v=R6m7c41NgMk,Tutorial Video,0,0,0,INACCESSIBLE
https://www.youtube.com/watch?v=UZqMrFOMNZ0,Calculating the outlet temperature of a heat exchanger using the DWSIIM code,908,632,6,OK
https://www.youtube.com/watch?v=WgrHVki072I,"DWSIM: Flash Column, a simple flow sheet development",653,13223,0,NO_TRANSCRIPT
https://www.youtube.com/watch?v=XTLuUNx72lg,Tutorial Video,0,0,0,INACCESSIBLE
https://www.youtube.com/watch?v=ZU20OzJq9i4,"""DWSIM Tutorial: How to Access & Use Sample Files (Step-by-Step Guide) 🧪",392,325,6,OK
https://www.youtube.com/watch?v=aYth6qHnDe0,Aspen Plus for beginner flash vessel | flash drum separator | Aspen Plus tutorial,1077,1930,1,OK
https://www.youtube.com/watch?v=anNCig-wgf4,How to Create a New Unit Operation Model (Visual Basic language),9995,5957,0,DURATION_SKIP
https://www.youtube.com/watch?v=c6bDAzHE6Cg,Plug Flow Reactor Simulation in DWSIM | Volume of reactor at given conversion of reactant,1146,13080,8,OK
https://www.youtube.com/watch?v=cuZ5Oq1ZuFw,DWSIM Tutorial 1 (Mixers For Beginners),1127,40871,8,OK
https://www.youtube.com/watch?v=dpF0biJHfKA,Basic Course 1 - Getting Support,310,1949,4,OK
https://www.youtube.com/watch?v=dw10_xyz132,Tutorial Video,0,0,0,INACCESSIBLE
https://www.youtube.com/watch?v=dw11_xyz133,Tutorial Video,0,0,0,INACCESSIBLE
https://www.youtube.com/watch?v=dw12_xyz134,Tutorial Video,0,0,0,INACCESSIBLE
https://www.youtube.com/watch?v=dw13_xyz135,Tutorial Video,0,0,0,INACCESSIBLE
https://www.youtube.com/watch?v=dw14_xyz136,Tutorial Video,0,0,0,INACCESSIBLE
https://www.youtube.com/watch?v=dw15_xyz137,Tutorial Video,0,0,0,INACCESSIBLE
https://www.youtube.com/watch?v=dw16_xyz138,Tutorial Video,0,0,0,INACCESSIBLE
https://www.youtube.com/watch?v=dw17_xyz139,Tutorial Video,0,0,0,INACCESSIBLE
https://www.youtube.com/watch?v=dw18_xyz140,Tutorial Video,0,0,0,INACCESSIBLE
https://www.youtube.com/watch?v=dw19_xyz141,Tutorial Video,0,0,0,INACCESSIBLE
https://www.youtube.com/watch?v=dw1_xyz123,Tutorial Video,0,0,0,INACCESSIBLE
https://www.youtube.com/watch?v=dw20_xyz142,Tutorial Video,0,0,0,INACCESSIBLE
https://www.youtube.com/watch?v=dw21_xyz143,Tutorial Video,0,0,0,INACCESSIBLE
https://www.youtube.com/watch?v=dw22_xyz144,Tutorial Video,0,0,0,INACCESSIBLE
https://www.youtube.com/watch?v=dw23_xyz145,Tutorial Video,0,0,0,INACCESSIBLE
https://www.youtube.com/watch?v=dw24_xyz146,Tutorial Video,0,0,0,INACCESSIBLE
https://www.youtube.com/watch?v=dw25_xyz147,Tutorial Video,0,0,0,INACCESSIBLE
https://www.youtube.com/watch?v=dw26_xyz148,Tutorial Video,0,0,0,INACCESSIBLE
https://www.youtube.com/watch?v=dw27_xyz149,Tutorial Video,0,0,0,INACCESSIBLE
https://www.youtube.com/watch?v=dw2_xyz124,Tutorial Video,0,0,0,INACCESSIBLE
https://www.youtube.com/watch?v=dw3_xyz125,Tutorial Video,0,0,0,INACCESSIBLE
https://www.youtube.com/watch?v=dw4_xyz126,Tutorial Video,0,0,0,INACCESSIBLE
https://www.youtube.com/watch?v=dw5_xyz127,Tutorial Video,0,0,0,INACCESSIBLE
https://www.youtube.com/watch?v=dw6_xyz128,Tutorial Video,0,0,0,INACCESSIBLE
https://www.youtube.com/watch?v=dw7_xyz129,Tutorial Video,0,0,0,INACCESSIBLE
https://www.youtube.com/watch?v=dw8_xyz130,Tutorial Video,0,0,0,INACCESSIBLE
https://www.youtube.com/watch?v=dw9_xyz131,Tutorial Video,0,0,0,INACCESSIBLE
https://www.youtube.com/watch?v=eGPVOUoDd2g,Overview of DWSIM - English,890,6407,11,OK
https://www.youtube.com/watch?v=jL53qZ2vS5I,Chemical Engineering Simulation| DWSIM | Tutorial 2 | Mixture Simulation,1046,1373,9,OK
https://www.youtube.com/watch?v=khvNRsai2tc,Basic Course 2  - Unit Operations Overview,1204,8386,28,OK
https://www.youtube.com/watch?v=lDYu3vXgYrg,Creating a material stream in DWSIM - English,724,4792,8,OK
https://www.youtube.com/watch?v=lesfqVwU4W0,Neural Network Unit Operation Tutorial,972,13827,0,NO_TRANSCRIPT
https://www.youtube.com/watch?v=lnnDh84pOE8,T-x-y and x-y Diagrams for Binary VLE in Flash Drum (Interactive Simulation),288,9646,1,OK
https://www.youtube.com/watch?v=oWSD7zlMzrE,Shortcut Distillation Calculations in DWSIM | Fenske–Underwood–Gilliland Method,736,220,8,OK
https://www.youtube.com/watch?v=wOP9mce5sWo,DWSIM Heat Exchanger Simulation | Debutanizer Condenser with Geometry & Rating,798,322,7,OK
https://www.youtube.com/watch?v=wYfM5mjiZ5c,Lecture 5a - Full NH3-Process with DWSIM,1930,1696,0,DURATION_SKIP
https://www.youtube.com/watch?v=ECSqyelD0Vs,Tutorial Video,0,0,0,INACCESSIBLE
